prerequisite,target,weight
arithmetic,fractions,0.8
arithmetic,simplify_expression,0.7
arithmetic,function_notation,0.6
arithmetic,power_rule,0.5
arithmetic,root_concept,0.6
arithmetic,matrix_entry,0.6
arithmetic,directed_graph,0.5
arithmetic,polynomial_form,0.5
arithmetic,piecewise_function,0.5
arithmetic,mse_loss,0.5
fractions,simplify_expression,0.8
simplify_expression,simplify_polynomial,0.8
simplify_expression,solve_linear_equation,0.6

function_notation,substitution,0.8
substitution,evaluate_function,0.9
simplify_expression,evaluate_function,0.6
evaluate_function,sign_of_function,0.8
arithmetic,sign_of_function,0.5

power_rule,polynomial_derivative,0.9
simplify_polynomial,polynomial_derivative,0.5
polynomial_derivative,evaluate_derivative,0.8
substitution,evaluate_derivative,0.7
arithmetic,evaluate_derivative,0.5

root_concept,check_sign_change,0.7
evaluate_function,check_sign_change,0.8
sign_of_function,check_sign_change,0.9
midpoint_formula,bisection_step,0.8
check_sign_change,interval_update,0.9
interval_update,bisection_step,0.8
evaluate_function,bisection_step,0.5

fixed_point_formula,fixed_point_step,0.8
evaluate_function,fixed_point_step,0.7
substitution,fixed_point_step,0.6
simplify_expression,fixed_point_step,0.6
polynomial_derivative,contraction_check,0.7
evaluate_derivative,contraction_check,0.7
fixed_point_step,contraction_check,0.4

newton_formula,newton_step,0.9
evaluate_function,newton_step,0.8
polynomial_derivative,newton_step,0.8
evaluate_derivative,newton_step,0.8
fractions,newton_step,0.7
simplify_expression,newton_step,0.7
newton_step,newton_iteration,0.9
contraction_check,newton_iteration,0.2

matrix_entry,matrix_vector_product,0.7
arithmetic,matrix_vector_product,0.6
vector_basics,dot_product,0.8
arithmetic,dot_product,0.5
dot_product,matrix_vector_product,0.4
matrix_vector_product,matrix_norm,0.5
matrix_entry,matrix_norm,0.6
matrix_entry,diagonal_dominance,0.7
matrix_norm,diagonal_dominance,0.5
arithmetic,diagonal_dominance,0.6
matrix_entry,gaussian_elimination,0.6
solve_linear_equation,gaussian_elimination,0.7
gaussian_elimination,back_substitution,0.9

directed_graph,outdegree,0.8
outdegree,distribute_weight,0.9
fractions,distribute_weight,0.6
distribute_weight,transition_matrix,0.9
matrix_entry,transition_matrix,0.5
transition_matrix,column_stochastic,0.8
arithmetic,column_stochastic,0.6
matrix_vector_product,power_iteration,0.8
transition_matrix,power_iteration,0.7
power_iteration,pagerank_step,0.9
column_stochastic,pagerank_step,0.7

mse_loss,least_squares,0.7
matrix_vector_product,least_squares,0.6
fractions,least_squares,0.4
least_squares,normal_equation,0.8
matrix_norm,normal_equation,0.4
normal_equation,linear_regression,0.9
evaluate_function,linear_regression,0.5

mse_loss,gradient_descent,0.7
evaluate_derivative,gradient_descent,0.7
gradient_descent,learning_rate_tuning,0.6

polynomial_form,vandermonde_matrix,0.7
substitution,vandermonde_matrix,0.8
matrix_entry,vandermonde_matrix,0.5
polynomial_form,lagrange_basis,0.6
fractions,lagrange_basis,0.7
simplify_expression,lagrange_basis,0.6
lagrange_basis,lagrange_polynomial,0.9
simplify_polynomial,lagrange_polynomial,0.6

piecewise_function,first_derivative_continuity,0.7
polynomial_derivative,first_derivative_continuity,0.8
polynomial_derivative,second_derivative_continuity,0.7
first_derivative_continuity,natural_spline,0.7
second_derivative_continuity,natural_spline,0.8
natural_boundary,natural_spline,0.8
solve_linear_equation,natural_spline,0.5
