node_id,parent_id,depth,node_type,area,level_band,title,sort_order,description
math_from_algebra_to_university,,0,course,,full,Mathematics from Algebra to University,0,
area_foundations_for_algebra,math_from_algebra_to_university,1,area,Foundations for Algebra,foundation,Foundations for Algebra,1,
area_foundations_for_algebra_cluster_number_sense_and_arithmetic,area_foundations_for_algebra,2,skill_cluster,Foundations for Algebra,foundation,Number sense and arithmetic,1,
area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_01_understand_place_value_and_number_forms,area_foundations_for_algebra_cluster_number_sense_and_arithmetic,3,atomic_skill,Foundations for Algebra,foundation,Understand place value and number forms,1,
area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_02_compare_and_order_numbers,area_foundations_for_algebra_cluster_number_sense_and_arithmetic,3,atomic_skill,Foundations for Algebra,foundation,Compare and order numbers,2,
area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_03_add_and_subtract_whole_numbers,area_foundations_for_algebra_cluster_number_sense_and_arithmetic,3,atomic_skill,Foundations for Algebra,foundation,Add and subtract whole numbers,3,
area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_04_multiply_and_divide_whole_numbers,area_foundations_for_algebra_cluster_number_sense_and_arithmetic,3,atomic_skill,Foundations for Algebra,foundation,Multiply and divide whole numbers,4,
area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_05_use_order_of_operations,area_foundations_for_algebra_cluster_number_sense_and_arithmetic,3,atomic_skill,Foundations for Algebra,foundation,Use order of operations,5,
area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_06_estimate_and_check_reasonableness,area_foundations_for_algebra_cluster_number_sense_and_arithmetic,3,atomic_skill,Foundations for Algebra,foundation,Estimate and check reasonableness,6,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra,2,skill_cluster,Foundations for Algebra,foundation,"Fractions, decimals, and percents",2,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_01_identify_numerators_and_denominators,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Identify numerators and denominators,1,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_02_simplify_fractions,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Simplify fractions,2,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_03_compare_fractions,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Compare fractions,3,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_04_find_common_denominators,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Find common denominators,4,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_05_add_and_subtract_fractions,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Add and subtract fractions,5,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_06_multiply_fractions,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Multiply fractions,6,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_07_divide_fractions,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Divide fractions,7,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_08_convert_fractions_and_decimals,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Convert fractions and decimals,8,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_09_convert_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Convert decimals and percents,9,
area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_10_solve_percent_problems,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,3,atomic_skill,Foundations for Algebra,foundation,Solve percent problems,10,
area_foundations_for_algebra_cluster_integers_and_rational_numbers,area_foundations_for_algebra,2,skill_cluster,Foundations for Algebra,foundation,Integers and rational numbers,3,
area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_01_represent_negative_numbers_on_a_number_line,area_foundations_for_algebra_cluster_integers_and_rational_numbers,3,atomic_skill,Foundations for Algebra,foundation,Represent negative numbers on a number line,1,
area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_02_compare_rational_numbers,area_foundations_for_algebra_cluster_integers_and_rational_numbers,3,atomic_skill,Foundations for Algebra,foundation,Compare rational numbers,2,
area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_03_add_and_subtract_integers,area_foundations_for_algebra_cluster_integers_and_rational_numbers,3,atomic_skill,Foundations for Algebra,foundation,Add and subtract integers,3,
area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_04_multiply_and_divide_integers,area_foundations_for_algebra_cluster_integers_and_rational_numbers,3,atomic_skill,Foundations for Algebra,foundation,Multiply and divide integers,4,
area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_05_use_absolute_value,area_foundations_for_algebra_cluster_integers_and_rational_numbers,3,atomic_skill,Foundations for Algebra,foundation,Use absolute value,5,
