source_id,target_id,relation,weight
math_from_algebra_to_university,area_foundations_for_algebra,contains,1.0
area_foundations_for_algebra,area_foundations_for_algebra_cluster_number_sense_and_arithmetic,contains,1.0
area_foundations_for_algebra_cluster_number_sense_and_arithmetic,area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_01_understand_place_value_and_number_forms,contains,1.0
area_foundations_for_algebra_cluster_number_sense_and_arithmetic,area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_02_compare_and_order_numbers,contains,1.0
area_foundations_for_algebra_cluster_number_sense_and_arithmetic,area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_03_add_and_subtract_whole_numbers,contains,1.0
area_foundations_for_algebra_cluster_number_sense_and_arithmetic,area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_04_multiply_and_divide_whole_numbers,contains,1.0
area_foundations_for_algebra_cluster_number_sense_and_arithmetic,area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_05_use_order_of_operations,contains,1.0
area_foundations_for_algebra_cluster_number_sense_and_arithmetic,area_foundations_for_algebra_cluster_number_sense_and_arithmetic_skill_06_estimate_and_check_reasonableness,contains,1.0
area_foundations_for_algebra,area_foundations_for_algebra_cluster_fractions_decimals_and_percents,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_01_identify_numerators_and_denominators,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_02_simplify_fractions,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_03_compare_fractions,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_04_find_common_denominators,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_05_add_and_subtract_fractions,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_06_multiply_fractions,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_07_divide_fractions,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_08_convert_fractions_and_decimals,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_09_convert_decimals_and_percents,contains,1.0
area_foundations_for_algebra_cluster_fractions_decimals_and_percents,area_foundations_for_algebra_cluster_fractions_decimals_and_percents_skill_10_solve_percent_problems,contains,1.0
area_foundations_for_algebra,area_foundations_for_algebra_cluster_integers_and_rational_numbers,contains,1.0
area_foundations_for_algebra_cluster_integers_and_rational_numbers,area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_01_represent_negative_numbers_on_a_number_line,contains,1.0
area_foundations_for_algebra_cluster_integers_and_rational_numbers,area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_02_compare_rational_numbers,contains,1.0
area_foundations_for_algebra_cluster_integers_and_rational_numbers,area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_03_add_and_subtract_integers,contains,1.0
area_foundations_for_algebra_cluster_integers_and_rational_numbers,area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_04_multiply_and_divide_integers,contains,1.0
area_foundations_for_algebra_cluster_integers_and_rational_numbers,area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_05_use_absolute_value,contains,1.0
area_foundations_for_algebra_cluster_integers_and_rational_numbers,area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_06_evaluate_rational_expressions_numerically,contains,1.0
