skill_id,difficulty,task_title,task_latex,task_text,expected_answer,accepted_answers,hint
arithmetic,easy,"Arithmetic calculation","8-3+2","Compute the value.","7","7","Work from left to right."
fractions,easy,"Simplify a fraction","\frac{6}{9}","Simplify the fraction.","2/3","2/3|0.666|0.67","Divide numerator and denominator by 3."
simplify_expression,easy,"Combine like terms","2x+3x-x","Simplify the expression.","4x","4x|4*x","Combine all x terms."
simplify_polynomial,easy,"Simplify polynomial","x^2+2x^2-x+x","Simplify the polynomial.","3x^2","3x^2|3*x^2","Combine like terms."
solve_linear_equation,easy,"Solve equation","2x+3=11","Solve for x.","4","4|x=4|x = 4","Subtract 3, then divide by 2."

function_notation,easy,"Evaluate function notation","f(x)=x^2-1,\quad f(4)=?","Compute f(4).","15","15","Substitute x=4."
substitution,easy,"Substitute value","x^2-5,\quad x=3","Substitute x=3 and compute.","4","4","Compute 3^2-5."
evaluate_function,easy,"Evaluate function","f(x)=2x^2-x,\quad f(3)=?","Evaluate the function.","15","15","Substitute x=3."
sign_of_function,easy,"Find sign","f(x)=x^2-5,\quad f(2)=?","Compute f(2) and give its sign.","-1","-1|negative","Compute 2^2-5."

power_rule,easy,"Differentiate power","(x^4)'","Find the derivative.","4x^3","4x^3|4*x^3","Use (x^n)'=nx^(n-1)."
polynomial_derivative,easy,"Differentiate polynomial","f(x)=3x^2-2x+1","Find f'(x).","6x-2","6x-2|6*x-2","Differentiate term by term."
evaluate_derivative,easy,"Evaluate derivative","f'(x)=6x-2,\quad f'(3)=?","Compute the derivative value.","16","16","Substitute x=3."

root_concept,easy,"Find a root","x^2-4=0","Find the positive root.","2","2","Solve x^2=4."
check_sign_change,easy,"Check signs","f(1)=-3,\quad f(3)=5","Do the endpoint signs differ? Answer yes or no.","yes","yes|true|Yes","One value is negative and the other is positive."
midpoint_formula,easy,"Find midpoint","a=1,\quad b=5,\quad m=?","Compute the midpoint.","3","3","Use m=(a+b)/2."
interval_update,easy,"Update bisection interval","f(1)<0,\quad f(3)>0,\quad f(5)>0","After midpoint m=3, what interval keeps the root?","[1,3]","[1,3]|[1, 3]|1,3","Keep the interval where signs differ."
bisection_step,easy,"One bisection step","f(x)=x^2-4,\quad [1,5]","Compute the first midpoint.","3","3","Use m=(1+5)/2."

fixed_point_formula,easy,"Apply fixed-point formula","g(x)=\frac{x+6}{4},\quad x_0=2","Compute x1.","2","2","Substitute x0 into g(x)."
fixed_point_step,easy,"Fixed-point step","g(x)=x-\frac{x^2-5}{10},\quad x_0=3","Compute x1.","2.6","2.6|13/5","Substitute x0=3."
contraction_check,easy,"Contraction value","g'(x)=1-\frac{x}{5},\quad x=2","Compute |g'(2)|.","0.6","0.6|3/5","Compute 1-2/5."

newton_formula,easy,"Apply Newton formula","x_k=3,\quad f(x_k)=4,\quad f'(x_k)=6","Compute $x_{k+1}=x_k-f(x_k)/f'(x_k)$.","7/3","7/3|2.333|2.33|2.3333","Compute 3-4/6."
newton_step,easy,"Newton step","f(x)=x^2-5,\quad x_0=3","Compute x1 using Newton method.","7/3","7/3|2.333|2.33|2.3333","Use x1=x0-f(x0)/f'(x0)."
newton_iteration,easy,"Second Newton step","f(x)=x^2-5,\quad x_1=\frac{7}{3}","Compute x2.","47/21","47/21|2.238|2.2381","Use Newton formula again."

matrix_entry,easy,"Read matrix entry","A=\begin{pmatrix}1&2\\3&4\end{pmatrix}","Compute $A_{21}$.","3","3","Row 2, column 1."
vector_basics,easy,"Vector dimension","v=(1,2,3)","How many components does v have?","3","3","Count the entries."
dot_product,easy,"Dot product","u=(1,2),\quad v=(3,4)","Compute u·v.","11","11","Multiply and sum: 1·3+2·4."
matrix_vector_product,easy,"Matrix-vector product","\begin{pmatrix}1&2\\3&4\end{pmatrix}\begin{pmatrix}1\\1\end{pmatrix}","Compute the product.","[3,7]","[3,7]|(3,7)|3,7","Multiply each row by the vector."
matrix_norm,easy,"Infinity norm","\begin{pmatrix}1&-2\\3&1\end{pmatrix}","Compute the infinity norm.","4","4","Take the maximum absolute row sum."
diagonal_dominance,easy,"Diagonal dominance","\begin{pmatrix}4&1\\1&3\end{pmatrix}","Is the matrix strictly diagonally dominant? Answer yes or no.","yes","yes|true|Yes","Compare diagonal entries with sums of other row entries."
gaussian_elimination,easy,"Elimination multiplier","2x+y=5,\quad 4x+3y=11","What multiplier eliminates x from the second equation?","2","2","Use row2 - 2*row1."
back_substitution,easy,"Back substitution","2x=6","Solve for x.","3","3","Divide by 2."

directed_graph,easy,"Count outgoing edges","1\to2,\quad 1\to3,\quad 2\to3","Compute the outdegree of node 1.","2","2","Count arrows leaving node 1."
outdegree,easy,"Outdegree","1\to2,\quad 1\to3,\quad 1\to4","Compute the outdegree of node 1.","3","3","Count outgoing links."
