skill_id,theory,steps,example
arithmetic,"Arithmetic is the foundation of all numerical methods. Be fluent with order of operations and simple transformations.","Apply order of operations;Work left to right for + and -","Compute (8-3)+2."
simplify_expression,"Combine like terms by adding coefficients of the same variable.","Group like terms;Add coefficients;Rewrite the expression","2x+3x-x=4x."
evaluate_function,"Substitute the input into the function and compute step by step.","Plug in the value;Compute powers;Multiply coefficients and add/subtract","For f(x)=2x^2-x, f(3)=2·9-3=15."
polynomial_derivative,"Use power rule term-by-term: (ax^n)'=a·n·x^{n-1}.","Apply power rule to each term;Sum the results","For 3x^2-2x+1, derivative is 6x-2."
newton_step,"Newton update is x_{k+1}=x_k-f(x_k)/f'(x_k).","Compute f(x_k);Compute f'(x_k);Plug into formula","For f(x)=x^2-5 at x=3, x1=3-(4/6)=7/3."
lagrange_basis,"Lagrange basis L_i(x) equals 1 at x_i and 0 at all other nodes.","Recall definition of basis;Evaluate at x_i","L_i(x_i)=1."
lagrange_polynomial,"Interpolation is sum of y_i·L_i(x).","Compute each term y_i·L_i(x);Sum all terms","If y_i=3 and L_i=x^2 then term is 3x^2."
polynomial_form,"A degree n polynomial has n+1 coefficients to determine.","Identify degree n;Count coefficients n+1","Degree 2 has 3 coefficients."
vandermonde_matrix,"Build rows as [1, x, x^2, ...] for each node.","Start with 1;Add x, x^2, ...;Write row for each node","For x=2 and degree 2, row=[1,2,4]."
mse_loss,"Mean squared error is average of squared residuals.","Square each error;Average the squares","Errors 1 and -1 give MSE=(1^2+1^2)/2=1."
least_squares,"Find parameters that minimize MSE between predictions and targets.","Write error function;Minimize by derivative or geometry","Two points on y=x give slope 1."
normal_equation,"Closed-form solution: (X^T X)w = X^T y.","Compute X^T X;Compute X^T y;Solve linear system","For X=[1,2]^T, X^T X=5."
linear_regression,"Model predicts y = wx + b or more general linear forms.","Insert x into model;Compute output","If y=2x+1 then y(3)=7."
gradient_descent,"Iterative update: x_{k+1}=x_k-α·f'(x_k).","Compute gradient;Multiply by α;Subtract from current","x0=2, f'(2)=4, α=0.1 gives x1=1.6."
learning_rate_tuning,"Too large α can diverge; too small slows learning.","Check stability;Adjust α to balance speed and stability","α=2 is usually too large."
